"team","solve"
"Jagiellonian teapots",10
"UW5",9
"UWr 1",9
"Zagreb 1",8
"UW1",8
"Jagiellonian 2",8
"UWr 2",8
"ELTE 1",7
"LU1",7
"Zagreb 3",7
"UW4",6
"FI MUNI 01",6
"UW2",6
"MFF1",6
"Rühös állat",5
"Jagiellonian 4",5
"caCTUs",5
"LU2",5
"Jagiellonian 3",4
"Zagreb 2",4
"UW3",4
"UWr 5",4
"Traktoristi",4
"UW6",4
"UWr 3",4
"Farmári",4
"Ljubljana 3",4
"Árvíztűrő tükörfúrógép",4
"NCU2",4
"NCU1",4
"Ljubljana 1",4
"FI MUNI 02",4
"MFF2",4
"Čím viac, tým viac",4
"Ljubljana 2",4
"Maribor 1",4
"IIllIIllllIlIIlllIlIIl",3
"UWr 4",3
"MMM-2023",3
"FI MUNI 03",3
"Horizont moldavská jaskyňa",3
"LSZ",3
"Impossible Pixels",3
"We love Czenda <3",3
"aa",2
"USzeged 2",2
"UNIZA_FRI_2",2
"AGH1",2
"UNIZA_FRI_1",2
"USzeged 1",2
"UNIPU",2
"baklazani",2
"UMCS",2
"EeXoR",2
"sillypilled",2
"AlgoRiteh",1
"DSU",1
"University of Primorska",1
"using namespace bruteforce;",1
"NeverTouchGrass",0
